customer_id,first_name,last_name,email,country,city,created_at
1,Danielle,Johnson,john21@example.net,Saint Vincent and the Grenadines,New Roberttown,2021-05-26 13:12:42
2,Jeffery,Wagner,hoffmanjennifer@example.net,Mayotte,Robinsonshire,2022-03-09 03:42:04
3,Lisa,Smith,helenpeterson@example.org,Cuba,Curtisfurt,2021-05-31 05:50:52
4,Michael,Cooper,lindsay78@example.org,Uzbekistan,Millerport,2022-07-16 18:43:51
5,Barbara,Bush,stanleykendra@example.org,Timor-Leste,Port Craig,2022-03-08 19:36:25
6,Shawn,Flowers,mitchellclark@example.com,Reunion,New Cynthiaside,2022-01-16 07:12:46
7,Frank,Gray,gabriellecameron@example.org,Denmark,Port Leslieview,2021-04-13 19:41:24
8,Jason,Hahn,jason76@example.net,Kuwait,West Donald,2023-05-23 01:19:15
9,Amber,Burgess,zhurst@example.com,Cyprus,New Trevor,2021-03-15 04:37:32
10,Michelle,Hernandez,laurahenderson@example.org,Hungary,Carlsonmouth,2023-04-02 22:48:45
11,John,Tran,frazierdanny@example.net,Sao Tome and Principe,Kaylamouth,2021-06-23 06:57:59
12,Kelly,Moore,mckaynancy@example.com,Macao,New Rita,2022-04-09 14:49:41
13,Meagan,Romero,ericfarmer@example.net,Zimbabwe,New Mariotown,2021-06-23 18:43:51
14,Sarah,Koch,john39@example.org,Belize,Cabreraside,2021-07-15 08:41:30
15,David,Alvarez,josephbrennan@example.com,Croatia,Lake Larry,2022-08-04 02:07:31
16,Samuel,Holmes,wrightcaleb@example.org,Namibia,New Jeffrey,2021-04-21 06:48:50
17,Jean,Brown,whiteheadmichele@example.org,Malaysia,West Elizabeth,2021-11-29 19:19:37
18,Amber,Cummings,esanchez@example.com,Comoros,North Donnastad,2022-10-21 00:09:20
19,Robert,Shields,nuneztracey@example.org,Bahamas,Chandlerville,2022-01-22 06:34:48
20,James,Herrera,robertramirez@example.org,Tunisia,South Lindseyside,2021-06-02 02:18:07
21,Brent,Kidd,novaksara@example.org,Chad,Tuckerborough,2022-09-15 23:51:56
22,Rachel,Martin,gallowayjoseph@example.com,France,Hortonside,2023-01-27 00:25:31
23,Eric,Phillips,rileyamy@example.net,Germany,North Breannahaven,2023-04-06 01:49:03
24,Eric,Yu,yorkcasey@example.org,Peru,South David,2022-01-18 11:34:24
25,Beth,Williams,barnesbrandy@example.net,Germany,Jamesmouth,2022-01-06 18:51:26
26,Joseph,Anderson,stephen10@example.com,Nigeria,North Amandahaven,2022-02-16 23:23:17
27,David,Bailey,suarezmike@example.org,Kazakhstan,Cherylhaven,2021-01-13 03:39:59
28,Elizabeth,Spencer,mcmillandennis@example.org,Tuvalu,Lake Angelaview,2022-03-14 16:38:06
29,Cassandra,Robbins,gracefarrell@example.net,Liechtenstein,Rebeccaton,2021-05-24 09:08:10
30,Cynthia,Calderon,smithkellie@example.net,Estonia,Lake Scott,2022-10-27 09:19:26
31,Ann,Rodriguez,amydavenport@example.net,Micronesia,South David,2022-04-24 20:42:15
32,Michael,Fitzpatrick,nolanjason@example.org,Papua New Guinea,West Kimberlychester,2021-08-29 02:09:57
33,Sara,Young,theresacochran@example.com,Anguilla,Lake Sandra,2022-10-02 13:46:45
34,Leah,Shields,josephcobb@example.org,Hong Kong,Port Thomasborough,2022-12-17 01:20:54
35,Michael,Hoover,jeffreykeller@example.com,Greenland,Michelleview,2022-06-30 11:40:35
36,Darlene,Ross,sheila14@example.org,Mozambique,Benjaminchester,2022-06-22 00:08:58
37,Jessica,Edwards,cruzbarbara@example.com,Aruba,Smithside,2021-11-03 02:00:07
38,Michael,Jones,cindy14@example.net,Georgia,Nguyenport,2023-05-12 05:59:43
39,David,Fisher,lbyrd@example.net,Montenegro,Richardtown,2022-04-18 01:16:45
40,Justin,Jordan,steven73@example.net,Lebanon,Lake Christopher,2023-03-12 17:26:37
41,Elizabeth,Harvey,cardenaskaren@example.net,Georgia,Port James,2021-02-07 22:38:40
42,Brandon,Riggs,gibsonolivia@example.net,Congo,Snyderbury,2021-08-18 05:51:30
43,Diana,Smith,osbornejeffery@example.net,Maldives,Williamsbury,2021-07-08 12:34:35
44,Stephen,Solis,stephanie79@example.net,Uganda,Rivasside,2022-11-24 16:51:51
45,Phyllis,Manning,wcole@example.org,Tajikistan,Katiehaven,2023-01-23 19:05:10
46,Courtney,Hill,reevesjimmy@example.com,Ghana,East Edwardfurt,2021-08-26 08:59:35
47,Jasmine,Brown,drivera@example.com,Bahamas,Port Robert,2021-01-31 08:12:14
48,Melissa,Cannon,wwoods@example.com,Sao Tome and Principe,Castanedachester,2023-04-17 02:19:01
49,Julie,Payne,tracynelson@example.com,Antarctica (the territory South of 60 deg S),Rogersfurt,2021-09-14 09:18:48
50,Mary,Calhoun,meadowsbrittany@example.net,Anguilla,Lake Roymouth,2021-10-10 07:20:57
51,Brent,Gray,shawnrogers@example.com,Fiji,Kingland,2023-01-01 14:18:35
52,Andrew,Ryan,jeffrey10@example.org,Zambia,East Mary,2021-08-25 17:13:32
53,John,Wells,elliottjeffery@example.net,Equatorial Guinea,Garyville,2021-09-12 09:37:54
54,Tami,Rodriguez,hickmanbarbara@example.com,Indonesia,North Brittany,2022-01-13 06:04:52
55,Curtis,Barton,hoganashlee@example.org,Guatemala,Stanleyland,2023-02-25 23:35:07
56,Deborah,Smith,gshort@example.com,Guyana,Zimmermanchester,2021-10-01 14:51:42
57,Jessica,Sheppard,christina87@example.com,Jordan,Marcusbury,2021-05-15 15:01:37
58,Joshua,Hayes,qhudson@example.com,Guadeloupe,South Melissaburgh,2023-01-28 09:10:44
59,Jason,Salinas,joshua94@example.net,Algeria,North John,2022-09-24 08:44:19
60,Tracy,Chang,fbrewer@example.com,Somalia,North Kellyfurt,2022-01-13 23:04:26
61,Kevin,Perkins,wtran@example.com,Samoa,Michaelmouth,2022-02-25 20:29:47
62,Kristopher,Hall,leslienewton@example.net,Colombia,East Joanna,2022-03-06 12:39:11
63,Jenny,Bray,tina34@example.org,Guyana,West Alexis,2023-04-10 17:59:58
64,David,Williams,tranheidi@example.org,Northern Mariana Islands,Garciatown,2022-03-18 16:56:18
65,Taylor,Alexander,tammyking@example.com,Brazil,South Travisshire,2021-03-25 06:41:28
66,Edward,Shepherd,christopher31@example.net,Serbia,Obrienbury,2023-03-23 18:54:58
67,Omar,Kerr,michelle64@example.net,Niger,New Susanville,2021-11-19 18:53:40
68,Colleen,Baker,mooreglenn@example.org,Cayman Islands,South Shannonfort,2022-03-29 10:56:00
69,Antonio,Roberts,jacqueline71@example.net,Djibouti,Kristinshire,2021-11-04 07:14:05
70,Ronald,Stephens,rebekahserrano@example.org,Bahamas,Port Kyle,2022-03-25 08:10:57
71,Scott,Harrison,holly48@example.net,Lithuania,Millerton,2022-11-03 03:11:45
72,Jessica,Munoz,davissuzanne@example.net,Namibia,Port Emilyview,2021-03-04 11:56:43
73,Kathryn,Thompson,lmoon@example.net,Jordan,Costafort,2022-06-25 12:55:42
74,Ricky,Morris,hodgemark@example.net,Lithuania,Elainefurt,2023-05-05 13:05:17
75,Benjamin,Miller,marcus68@example.org,Palestinian Territory,Gutierrezborough,2023-03-17 08:49:17
76,Michael,Avila,nwolf@example.com,Mexico,West Samuel,2023-01-23 23:21:56
77,David,Dudley,jennifercollins@example.org,Micronesia,Davisville,2022-12-18 20:01:27
78,Stacey,Holland,tyronemoran@example.net,Romania,Robertfort,2023-01-04 13:37:46
79,John,Arnold,mlee@example.net,San Marino,Port Chad,2022-10-07 14:10:29
80,Matthew,French,lori44@example.net,Mozambique,Grimesmouth,2023-04-17 15:44:21
81,Todd,Cook,ugibson@example.org,Qatar,New Patrick,2022-10-01 02:48:20
82,Bradley,Garner,qhughes@example.net,Canada,Hannaberg,2023-02-20 06:46:16
83,Tammy,Rivera,sawyerscott@example.net,United States Minor Outlying Islands,Smithberg,2022-09-29 21:06:38
84,Monica,Booker,harrisontanya@example.com,Nigeria,Santosmouth,2023-04-09 22:52:54
85,Norman,Stewart,cbrennan@example.net,Bangladesh,Lake Gabrielle,2022-03-23 10:15:56
86,Wendy,Francis,wgood@example.net,Romania,South Garrettport,2021-02-14 23:13:54
87,Brandon,Flynn,michael62@example.org,Marshall Islands,Knightburgh,2021-09-22 01:26:59
88,Gregory,Lynch,pharvey@example.com,United States Minor Outlying Islands,East Steven,2022-01-30 12:57:41
89,Steve,Estrada,rsantana@example.net,Cayman Islands,South Sierrashire,2022-04-10 17:16:43
90,Danielle,Coleman,stephen43@example.com,Timor-Leste,Rodriguezfurt,2022-07-12 14:58:02
91,Bailey,Haney,andrew64@example.org,Mongolia,New Julieport,2021-12-24 11:26:07
92,Catherine,Gomez,christinebyrd@example.net,Seychelles,Lake Colton,2021-03-03 05:46:48
93,Kyle,Alexander,jessica14@example.com,San Marino,Thompsonberg,2023-04-18 22:34:43
94,Nancy,Diaz,maria47@example.com,San Marino,Lindamouth,2021-04-27 23:21:49
95,Donald,Levy,zcoffey@example.net,Haiti,Port Ralphview,2023-04-14 12:51:56
96,David,Richardson,brenda51@example.net,Djibouti,Johnsonside,2022-05-25 12:57:37
97,Rose,Walker,reidsteven@example.net,Gabon,Wilsonton,2021-02-27 19:22:07
98,Kevin,Vasquez,youngamanda@example.com,Korea,Ellenside,2022-10-14 02:10:40
99,Brenda,Barber,fpena@example.net,Ireland,Antoniostad,2021-12-04 12:24:03
100,Scott,Sampson,cory58@example.net,Guinea-Bissau,South Joshuaville,2022-12-08 09:05:32
101,Christopher,Lewis,williamsmatthew@example.org,Solomon Islands,North Maria,2023-05-11 22:21:50
102,Jamie,Robinson,markhernandez@example.net,Afghanistan,Micheleberg,2021-07-21 22:27:28
103,Amber,Lindsey,guerreroanthony@example.org,Guinea-Bissau,New Mario,2021-09-28 16:22:09
104,Joseph,Martinez,vfox@example.org,Lebanon,Stricklandhaven,2021-06-19 09:49:41
